Age,Income,Outage_sec_perweek,Gender_Male,Gender_Nonbinary,Area_Suburban,Area_Urban,InternetService_Fiber Optic,InternetService_None,Phone_Yes,OnlineSecurity_Yes,DeviceProtection_Yes,StreamingMovies_Yes,OnlineBackup_Yes,Churn
58,14568.7,10.22013704,1,0,1,0,0,1,1,0,0,1,0,1
49,29207.46,8.425458142,0,0,0,0,1,0,1,0,1,0,0,0
26,55319.23,8.386280619,0,0,1,0,0,0,1,1,0,1,1,0
25,81831.49,9.565924291,1,0,0,1,1,0,1,0,1,0,0,0
42,100076.65,10.79349982,0,0,0,0,0,0,1,1,0,1,1,1
81,69965.65,6.081975067,1,0,0,0,0,1,1,0,1,0,0,0
43,34883.69,13.55065547,0,0,1,0,0,1,1,0,1,1,0,0
63,45634.2,9.470419821,1,0,0,1,0,0,1,0,1,0,1,0
70,10964.73,6.194985909,0,0,1,0,1,0,1,0,1,1,0,1
78,22365.28,10.80393657,1,0,0,1,1,0,1,0,0,1,0,1
48,52636.6,7.903964267,1,0,0,1,0,0,1,1,0,0,0,0
63,19048.13,11.27443693,0,0,1,0,0,0,1,0,1,1,0,1
60,42784.82,6.129509309,0,0,0,1,0,1,1,1,0,1,1,1
87,77996.88,7.969277912,1,0,0,0,0,0,1,0,0,1,1,1
54,47507.3,4.368120492,0,0,1,0,1,0,1,0,0,0,1,0
35,7724.73,6.258356398,1,0,0,1,1,0,1,0,1,1,1,1
70,1509.52,12.92303286,1,0,0,1,1,0,1,0,1,1,1,1
67,81124.71,12.43301273,0,0,0,0,0,0,1,1,1,1,1,1
46,11795.57,7.607663559,0,0,0,0,0,1,0,0,1,1,0,1
50,74794.84,7.442789019,1,0,0,1,0,0,1,0,0,1,1,0
24,19038.78,13.04429298,0,0,0,0,1,0,1,0,0,1,0,1
20,79167.77,14.89762162,1,0,0,0,1,0,1,1,1,0,0,0
29,37428.26,13.79387475,0,0,0,1,0,0,1,0,0,1,0,1
31,45148.38,15.66367593,1,0,0,0,1,0,1,0,1,0,0,0
72,74855.47,8.513410306,0,0,0,1,1,0,1,0,0,1,0,0
71,45323.86,8.265002035,1,0,0,1,0,0,1,1,1,0,0,0
32,71596.14,8.6026551,0,0,1,0,1,0,1,1,1,0,1,0
33,10389.95,6.03993035,1,0,0,0,1,0,1,1,0,0,0,0
67,19657.14,14.6040829,1,0,1,0,0,1,1,0,0,0,1,0
66,27827.03,7.274007029,0,0,1,0,0,1,1,0,0,1,0,1
21,15609.05,8.913898759,0,0,0,0,0,0,1,0,0,1,0,1
61,19815.63,11.59313893,0,0,0,1,1,0,1,0,0,0,1,0
75,58482.9,8.294186076,0,0,0,0,1,0,1,0,1,1,0,1
63,41656.53,15.19664016,0,0,0,1,0,0,0,0,1,1,1,1
68,115510.46,5.083995994,0,0,1,0,1,0,1,1,0,1,0,0
32,15841.19,6.942719201,1,0,1,0,0,0,1,0,1,0,1,1
76,81127.41,9.834012571,1,0,1,0,0,0,1,0,1,1,0,0
29,24270.88,11.0596826,0,0,1,0,1,0,1,1,1,1,1,1
83,54466.33,8.834079073,0,0,0,0,1,0,1,0,1,0,0,0
23,64816.84,5.271228601,1,0,1,0,1,0,1,1,1,0,1,1
80,103311.26,9.394961367,1,0,0,0,1,0,1,1,1,0,1,0
20,40211.04,14.4754365,1,0,1,0,1,0,1,0,1,0,0,0
69,58077.38,10.68311773,1,0,0,1,0,1,0,0,1,1,1,1
32,43466.35,13.79409442,1,0,0,1,1,0,1,0,1,0,0,0
53,23289.77,12.40165307,0,0,0,1,0,1,1,0,1,1,0,1
25,49158.49,10.24782033,1,0,0,0,1,0,1,0,0,1,1,0
69,3805.84,14.86100819,1,0,1,0,1,0,0,0,1,0,1,1
71,52616.27,6.716953195,1,0,0,1,1,0,1,0,1,0,1,1
53,30550.42,8.124258176,0,0,0,1,0,0,1,1,0,1,1,1
56,12154.01,14.60903837,0,1,0,1,0,1,1,0,0,0,1,1
42,30649.31,12.65015936,1,0,1,0,0,0,0,0,0,1,0,1
33,31417.33,12.0281501,1,0,1,0,1,0,1,0,1,0,0,1
47,55861.19,15.68043093,1,0,0,1,1,0,1,0,0,0,0,0
48,9044.26,11.30421466,0,0,0,1,1,0,1,0,1,1,0,1
63,25381.66,10.26646787,0,0,0,0,1,0,1,0,0,1,0,1
40,65064.31,7.56618217,1,0,0,1,1,0,1,0,0,0,0,0
67,12527.51,10.40677369,1,0,0,1,1,0,1,1,0,0,1,1
56,35499.06,7.146124361,0,0,0,1,1,0,1,1,0,0,1,0
24,26282.4,9.807530479,0,0,0,1,0,0,1,0,1,0,0,0
79,51237.28,10.61217014,0,0,0,1,1,0,1,0,1,1,1,0
61,64222.21,5.785085772,1,0,0,0,0,0,1,0,0,1,0,1
38,11014.98,9.062879297,1,0,0,1,0,1,1,0,0,1,1,1
28,21172.49,16.54443477,0,0,0,0,0,0,1,0,0,0,1,0
44,26130.78,4.539566699,1,0,0,1,0,1,1,0,1,1,1,1
65,36478.21,7.251198724,1,0,1,0,0,1,1,0,0,0,1,0
35,54533.63,8.943293567,0,0,0,1,0,1,1,0,1,1,0,0
31,37103.18,12.57884215,0,0,1,0,0,1,1,0,1,0,0,0
34,74679.84,11.64836306,1,0,1,0,0,0,1,0,0,0,0,0
68,95028.57,6.076260652,1,0,0,1,0,1,1,0,1,1,0,1
62,34281.1,11.75681641,1,0,0,1,0,0,0,0,1,0,1,0
52,36240.81,9.173739977,1,0,0,1,0,0,1,1,1,0,0,0
32,9515.64,8.353693631,1,0,0,1,0,1,1,0,1,1,0,1
47,125814.88,10.74539526,0,0,0,0,0,0,1,0,1,1,0,1
66,12995.68,11.36323648,0,0,0,0,1,0,1,0,0,1,0,0
70,77531.43,2.310584634,0,0,0,0,0,0,1,0,0,0,1,1
41,87354.99,5.290318715,1,0,1,0,1,0,1,0,1,1,0,1
59,76567.85,5.258274954,1,0,1,0,1,0,1,0,0,0,0,0
46,30663.52,7.157580014,1,0,0,0,1,0,1,0,1,0,1,0
70,122957.19,2.120350511,1,0,1,0,1,0,1,0,0,1,1,0
89,31600.92,4.978546291,1,0,0,1,0,0,1,0,1,0,1,0
75,74638.78,6.547676875,0,0,1,0,1,0,0,1,1,1,0,1
26,32652.3,7.410590719,0,0,0,1,0,0,1,0,1,0,0,1
25,63650.54,11.39765385,0,0,0,1,1,0,1,0,1,0,0,0
84,28622.6,11.29945603,0,0,0,0,1,0,1,0,0,0,1,1
69,50252.79,11.30748265,1,0,1,0,1,0,1,0,1,1,1,0
31,19800.81,10.31551212,1,0,0,1,0,0,1,0,1,1,0,0
76,35954.77,13.71555406,1,0,1,0,0,1,1,0,0,1,1,1
75,36342.31,15.40917963,1,0,0,0,1,0,1,0,1,0,1,1
74,48715.53,11.9664542,0,1,0,0,0,1,1,0,0,1,1,1
49,23204.98,10.18046877,1,0,1,0,0,0,0,0,0,0,0,0
47,35302.52,14.01485542,1,0,0,0,1,0,1,0,0,1,1,1
20,54895.16,14.62784306,0,0,0,1,0,1,1,1,0,1,1,1
26,60398.06,10.90517581,0,0,1,0,0,0,1,1,0,1,0,1
72,8115.88,8.894475174,0,0,0,1,1,0,1,0,0,1,0,0
41,33858.66,10.50187888,1,0,0,1,1,0,1,1,0,0,1,0
26,29950.47,12.34250072,0,0,1,0,0,0,1,1,0,1,1,1
55,49421.69,10.29380879,1,0,0,1,1,0,1,1,1,1,1,0
46,11061.05,8.512650562,0,0,0,1,1,0,1,0,0,1,0,0
87,15388.32,7.82671592,0,0,1,0,0,1,1,0,0,1,0,1
39,20624.31,6.985590245,1,0,0,0,1,0,1,1,0,0,1,0
81,47877.81,11.40449185,1,0,0,0,1,0,1,0,1,1,0,1
83,46154.17,10.44249511,1,0,1,0,0,1,1,1,1,0,1,0
50,107111.8,15.38627887,0,0,0,1,1,0,1,1,1,1,0,1
87,10403.59,10.68024546,0,0,0,1,1,0,1,0,1,0,0,1
76,22412.6,10.62439366,0,0,0,0,0,0,1,0,0,0,1,0
25,19476.27,10.91642397,0,0,1,0,0,1,1,0,1,1,0,1
34,96382.76,8.580626195,1,0,0,0,0,1,1,1,1,1,0,1
46,28022.56,8.996933306,0,0,1,0,1,0,1,0,0,1,0,0
73,35478.4,7.602570192,0,0,1,0,1,0,1,0,0,0,0,0
57,10155.51,9.217689334,0,0,1,0,1,0,1,1,0,1,0,1
58,87537.25,9.591529444,1,0,0,0,0,0,1,0,0,0,0,0
70,34112.1,13.36027908,1,0,0,1,0,1,1,0,1,1,0,1
53,32653.51,4.372034777,1,0,1,0,0,0,1,1,1,0,0,1
31,35321.46,10.59285179,1,0,1,0,1,0,1,0,1,1,0,1
38,49277.48,12.81260566,0,0,1,0,1,0,1,1,0,0,0,0
26,37297.82,3.767298987,0,0,0,0,1,0,1,0,0,0,1,1
44,14928.96,17.56798903,1,0,0,0,1,0,1,0,1,0,1,0
66,24702.68,11.2369761,0,0,1,0,1,0,1,0,1,0,0,1
58,87535.71,8.54892416,1,0,1,0,0,0,1,1,0,0,0,0
51,63166.87,6.094109902,0,0,0,0,1,0,1,0,0,1,0,1
34,11856.81,13.9077275,0,0,0,1,0,1,1,0,1,1,1,0
87,27326.79,7.905333122,0,1,0,0,1,0,1,1,1,0,1,0
67,12779.23,12.53830949,0,0,0,0,1,0,1,0,0,1,0,1
59,25519.91,12.8219418,0,1,0,1,1,0,1,0,0,1,0,1
23,46871.21,8.941553742,1,0,0,1,0,0,1,0,1,0,1,0
42,77383.72,10.51043963,1,0,1,0,1,0,1,0,0,1,0,1
24,47395.3,11.86384439,0,0,1,0,0,0,1,1,1,1,1,1
81,90977.74,10.76051016,0,0,0,1,0,0,1,0,0,0,1,0
78,135727.71,11.05420024,1,0,1,0,0,0,1,1,1,0,0,0
51,47726.25,8.174495258,0,0,0,0,0,1,1,1,1,1,1,1
70,51721.64,10.05388383,0,0,1,0,0,1,1,0,0,0,0,0
87,41531.03,7.045552801,0,0,0,1,0,0,1,1,1,1,0,0
46,33504.8,8.957297136,0,0,0,1,0,0,1,0,0,0,0,0
56,34197.3,15.74015572,0,0,0,1,1,0,1,0,1,1,0,1
44,11518.58,13.41209586,1,0,1,0,0,0,1,1,0,1,1,1
33,31065.17,14.89835355,0,0,0,1,1,0,1,1,0,0,1,0
19,32097.17,13.62135046,0,0,1,0,1,0,1,0,0,1,1,1
31,23424.88,14.95912113,1,0,1,0,1,0,1,1,0,1,0,1
34,35988.24,11.741245,0,0,0,1,0,1,1,1,0,1,1,0
43,35539.7,7.765121655,1,0,0,1,0,0,1,0,1,1,0,0
82,27959.34,7.130431693,1,0,1,0,1,0,1,0,0,0,0,0
36,52232.97,8.359515606,0,0,0,0,0,1,1,0,0,0,1,0
48,18198.59,9.42799205,1,0,1,0,1,0,1,0,1,1,0,1
52,16851.94,10.95510131,1,0,0,0,0,1,1,0,1,1,1,1
35,16440.05,10.8621377,0,1,1,0,0,0,1,0,0,1,1,1
83,44223.58,7.352533505,0,0,1,0,0,1,1,0,0,0,1,0
20,33343.73,11.38860234,1,0,1,0,0,1,1,1,0,0,1,0
25,30664.56,9.580144161,0,0,1,0,1,0,1,0,0,1,0,1
88,31934.04,10.79191234,1,0,1,0,1,0,1,1,1,0,1,0
54,26676.4,9.982341124,0,0,1,0,1,0,1,0,0,0,0,0
46,67211.95,6.511921085,1,0,1,0,0,1,1,1,1,1,0,1
75,31136.77,10.70500472,0,0,1,0,0,0,1,1,0,0,0,0
66,40660.84,11.58410296,1,0,0,1,1,0,0,0,0,0,0,0
51,10606.59,8.01651453,0,0,1,0,1,0,1,1,0,0,1,0
81,92447.71,15.12148226,0,0,0,0,0,0,1,1,0,0,1,0
75,13612.16,12.63643487,1,0,1,0,0,1,1,1,1,1,1,0
54,13765.39,16.68178185,0,0,0,1,0,0,0,0,1,1,0,1
73,53019.98,11.08409914,1,0,0,0,0,1,1,0,0,0,0,0
53,42523.02,12.99948061,1,0,0,1,0,0,1,0,0,0,0,0
33,52143.7,11.17949466,0,0,1,0,1,0,1,0,1,1,0,0
41,19097.94,7.369412654,0,0,0,1,0,0,1,0,0,0,0,0
59,11301.4,9.84688181,0,0,0,1,0,0,1,1,1,0,1,0
23,17814.0,18.19542503,0,0,1,0,0,0,1,0,0,1,0,1
32,22533.05,13.53989069,0,0,0,0,1,0,0,1,1,1,1,1
51,19974.4,5.458806701,0,0,0,0,1,0,1,1,1,1,0,1
46,45146.99,12.0772854,0,0,0,0,1,0,1,0,0,0,1,0
37,10330.1,6.918984305,1,0,0,0,0,0,1,0,0,1,0,1
53,15281.28,14.84155042,1,0,1,0,0,0,1,1,0,0,0,0
62,11217.96,12.66717474,1,0,0,1,1,0,1,0,0,1,0,1
57,17516.0,11.43786808,0,0,1,0,0,0,0,0,1,0,1,0
80,20566.64,6.915228797,0,0,1,0,0,0,1,0,1,1,0,1
43,36128.68,11.30215199,1,0,0,1,1,0,1,1,1,0,1,1
35,52129.84,9.513085538,1,0,1,0,0,0,1,0,1,1,1,1
63,25985.06,9.497106973,0,0,1,0,1,0,1,1,0,1,0,0
63,10909.79,12.21852573,0,0,0,1,0,0,1,0,0,1,0,1
27,41151.14,8.272244827,0,0,0,0,1,0,1,0,1,0,0,0
19,64063.23,10.24857935,0,0,0,0,0,1,1,0,0,1,0,0
40,20414.07,6.743431946,0,0,0,1,0,1,1,0,1,0,1,0
42,41412.1,12.4703522,1,0,1,0,0,0,1,0,1,1,1,1
40,99195.08,7.913676085,0,0,0,0,0,0,1,0,1,1,1,1
72,18408.94,9.362849722,0,0,1,0,1,0,1,0,0,0,1,0
61,15930.45,17.41324465,1,0,0,1,0,0,0,0,1,0,0,1
71,25611.29,13.43700846,1,0,0,0,0,0,1,0,0,1,0,0
68,9428.86,11.95206054,0,0,1,0,1,0,1,0,0,1,1,0
88,3810.16,4.550449856,0,0,0,0,0,1,1,1,0,0,0,0
64,118022.06,6.09060584,1,0,0,0,0,0,1,1,0,0,0,1
63,51992.79,10.2863601,0,0,0,1,1,0,1,0,0,1,0,1
53,79993.43,11.17709222,0,0,0,0,0,1,1,0,1,0,1,0
41,37706.85,14.12145884,1,0,0,0,0,0,1,0,0,1,0,0
63,22466.53,7.799780591,1,0,1,0,0,1,1,1,0,0,1,0
56,16608.27,7.122072827,0,0,1,0,0,1,1,0,0,0,1,0
27,25146.14,9.329902365,1,0,0,0,1,0,1,0,0,1,0,0
47,58882.35,7.509389052,1,0,1,0,1,0,1,1,1,0,0,0
42,31809.46,15.06990851,0,0,1,0,0,1,1,1,1,0,1,0
72,27235.54,9.321265424,0,0,0,0,0,1,1,0,1,1,1,1
58,70476.82,3.564651961,1,0,0,1,0,0,1,0,0,0,1,1
33,49396.09,7.779622319,1,0,0,1,0,1,0,1,1,1,0,1
87,35060.94,10.74985413,0,0,1,0,0,0,1,1,1,1,0,1
34,66055.53,7.738373361,0,0,0,0,1,0,1,0,0,0,1,0
76,91335.76,12.01267388,1,0,0,1,0,0,1,1,1,0,1,0
38,54349.75,14.04748759,0,1,0,0,0,1,1,0,1,0,1,0
47,75042.1,3.11231175,0,0,0,0,0,0,1,0,0,1,0,1
84,91001.1,8.284591121,1,0,0,0,1,0,1,0,1,1,1,1
19,44426.28,6.269792565,1,0,0,1,1,0,0,0,0,1,1,1
87,63284.16,9.803905459,0,0,0,0,0,1,1,0,0,0,0,0
75,14039.21,8.571019738,1,0,1,0,0,0,1,0,1,0,0,0
37,12453.24,10.00344746,1,0,0,0,0,0,0,1,1,1,1,1
52,15934.12,4.255224068,0,0,0,0,1,0,1,0,1,1,1,1
24,48314.4,11.2714618,1,0,0,1,1,0,1,0,1,1,1,1
83,5511.77,8.477982632,1,0,0,1,0,1,1,1,0,1,0,1
19,10701.11,9.753145376,0,0,0,1,0,0,0,0,0,1,0,1
78,10767.15,14.57387887,1,0,0,1,0,1,1,1,1,1,1,1
61,13493.63,13.13441554,0,0,1,0,1,0,1,1,0,1,0,0
38,25071.58,11.62771397,1,0,0,0,0,1,1,0,0,1,0,1
79,368.5,6.114030983,1,0,1,0,1,0,1,1,0,0,0,1
49,27976.63,12.76603868,0,0,1,0,0,1,1,0,0,0,1,0
41,56154.5,6.348897952,0,0,0,1,1,0,1,0,1,0,0,0
75,62145.59,16.10939031,0,0,0,1,1,0,1,1,0,1,0,0
60,6517.94,7.151598137,0,0,0,0,1,0,1,0,0,0,0,0
70,19090.03,4.575363954,1,0,1,0,1,0,1,1,1,1,0,0
23,13194.33,13.42263904,1,0,1,0,1,0,1,0,0,0,1,1
84,63963.36,3.559550725,0,0,1,0,0,0,1,0,1,1,0,1
63,34447.89,5.971214226,1,0,1,0,1,0,1,0,0,0,0,1
88,36315.29,7.287197615,0,0,1,0,0,0,1,0,0,0,0,0
44,5009.07,11.30031859,0,0,1,0,1,0,1,1,0,1,0,1
49,14202.72,10.26519974,0,0,1,0,0,0,1,0,0,1,0,1
32,54779.76,16.28075484,1,0,0,1,0,1,1,1,0,1,1,1
69,36453.31,10.96553586,0,1,0,0,0,1,1,0,0,1,0,0
60,11250.71,10.93514898,0,0,1,0,0,0,1,0,0,1,0,1
57,65951.35,2.98020454,0,0,1,0,1,0,1,0,1,0,0,0
62,15292.25,17.05256354,0,0,0,1,1,0,1,1,0,1,1,1
26,41879.1,12.29165611,1,0,1,0,0,0,1,0,0,0,0,0
85,17080.57,10.32744663,0,0,0,1,0,0,1,1,1,1,1,1
82,68122.23,9.22949351,0,0,0,0,1,0,1,1,0,0,1,0
40,39468.79,10.02758972,0,0,0,0,0,0,1,1,0,1,1,0
50,123763.12,7.259022839,1,0,0,1,0,1,1,0,1,0,0,1
71,84301.44,10.97274944,1,0,0,0,0,0,1,0,1,1,1,1
48,42469.81,11.87042081,0,1,0,1,1,0,1,1,1,0,0,0
24,75458.79,9.531063533,0,0,0,0,1,0,1,1,0,0,0,0
79,60345.9,8.798065013,1,0,0,1,0,1,1,0,1,1,0,0
82,76066.77,15.27146446,1,0,0,0,0,1,1,0,1,0,1,0
68,42755.27,7.014445177,0,0,0,1,1,0,1,0,1,1,0,1
77,76874.25,10.62019312,0,1,1,0,1,0,1,0,0,1,1,0
19,41075.64,10.04585562,0,0,0,1,0,1,1,0,1,1,0,0
80,63095.62,10.88047174,1,0,1,0,0,0,0,1,1,1,1,1
31,82131.87,9.975481565,0,0,1,0,1,0,1,0,0,1,1,1
62,28502.33,7.248946018,1,0,0,0,1,0,1,0,1,1,0,0
80,9450.84,9.53003591,1,0,1,0,0,1,1,0,0,0,0,1
36,44977.06,6.592317798,1,0,0,0,0,1,1,0,0,0,0,0
72,13583.35,8.124261532,1,0,0,0,0,0,1,0,1,1,1,0
50,42093.64,11.44655577,1,0,0,0,0,1,0,0,1,1,0,0
31,55398.87,10.1755818,1,0,0,1,0,0,1,1,1,0,0,0
22,22362.59,13.7362126,0,0,0,0,0,1,1,0,1,0,1,0
50,40271.47,13.93422217,1,0,1,0,0,1,1,1,0,1,1,1
28,56178.63,3.405050602,1,0,0,0,1,0,1,0,1,0,0,0
63,21053.35,10.69284712,1,0,0,0,1,0,1,1,1,1,0,0
73,75866.75,10.11985468,0,0,0,0,0,1,1,0,0,0,0,0
72,74061.48,5.863179258,1,0,0,0,0,0,1,0,1,1,0,0
23,35102.93,13.357551,1,0,0,1,1,0,1,0,1,1,0,1
49,26391.1,14.04061351,1,0,0,1,1,0,1,0,0,1,0,1
82,29982.49,4.586902043,0,0,0,0,1,0,1,1,0,1,1,1
72,51154.34,11.03563726,0,0,1,0,0,1,1,1,0,1,0,0
45,37583.97,11.32768159,0,0,0,1,1,0,1,1,0,0,0,0
73,28654.87,5.307097721,0,0,0,0,1,0,1,1,0,0,1,0
78,119968.61,8.993783986,0,0,1,0,1,0,0,1,1,0,0,1
71,11591.09,11.05733159,1,0,0,1,0,0,1,1,1,0,0,0
67,70174.11,8.702618087,0,0,0,1,0,0,1,1,0,1,0,1
43,8495.04,7.045651851,1,0,0,1,0,1,1,0,0,0,0,0
27,17191.02,12.61411193,0,0,0,1,0,0,1,0,0,1,0,1
39,24732.09,9.703658153,1,0,0,1,0,0,1,1,1,0,0,1
52,27282.21,8.220453321,0,0,1,0,0,1,1,0,0,1,1,0
19,40902.49,8.816497541,0,0,0,1,0,1,1,1,1,1,0,1
48,87568.16,11.11756812,0,0,0,1,0,0,1,0,1,1,0,1
22,69327.78,13.07119875,1,0,1,0,1,0,1,0,0,1,1,1
69,5194.22,12.10865222,1,0,0,0,0,1,1,1,0,0,0,1
31,12951.51,9.681031902,1,0,1,0,0,0,1,1,0,1,0,0
79,11179.42,10.49495185,0,0,1,0,0,0,1,1,0,0,0,0
65,47288.09,7.535866122,1,0,0,0,1,0,1,0,1,0,1,0
49,114398.35,8.713443753,1,0,0,0,0,0,1,0,0,0,0,1
69,105646.73,7.191637555,0,0,1,0,1,0,1,0,0,1,0,1
74,42386.84,12.2870805,1,0,0,0,0,0,1,0,1,0,0,0
27,38864.57,10.66015784,1,0,0,1,1,0,1,1,0,1,1,1
79,25215.22,7.044096971,0,0,0,0,1,0,1,1,1,1,1,1
41,9302.3,12.14893118,0,0,0,1,0,1,1,1,1,0,0,0
51,45225.74,12.71107869,0,0,0,1,1,0,1,0,0,1,1,0
57,29976.15,9.759360165,1,0,0,0,0,0,1,0,1,1,1,1
66,13155.79,2.816821044,0,0,0,1,0,1,0,0,0,0,1,0
85,14980.5,9.617602049,0,0,0,0,0,0,1,0,1,1,0,1
54,24017.57,13.06640293,0,0,1,0,0,0,1,1,0,1,1,0
79,26204.77,8.669204519,1,0,0,1,0,0,1,0,1,1,0,1
56,27978.78,13.97477268,1,0,0,1,0,1,0,1,0,0,0,1
80,46622.3,11.19861363,1,0,1,0,1,0,1,0,0,0,1,1
37,34419.26,10.18921185,0,0,1,0,0,0,1,0,1,1,0,1
24,8507.97,9.518819692,0,0,0,1,0,0,1,1,0,1,1,0
48,64420.19,11.01996949,1,0,0,0,1,0,1,0,0,1,0,0
68,122263.81,14.91100172,0,0,0,0,1,0,1,0,1,0,0,1
74,64446.9,11.17971961,1,0,0,0,0,1,1,0,1,1,1,1
37,20647.83,12.16826675,0,0,0,1,0,0,1,0,0,0,1,0
54,23956.91,17.39213562,1,0,0,0,1,0,1,0,0,1,1,1
84,56003.36,12.02476736,1,0,1,0,0,1,1,1,0,0,0,0
68,50150.81,6.6769165,1,0,1,0,0,0,1,0,0,1,0,1
39,4180.22,11.78679636,0,0,1,0,0,1,1,1,0,1,0,0
85,70023.28,7.846521648,1,0,0,1,0,1,1,0,0,1,0,0
86,40728.96,5.670110512,0,0,0,1,1,0,1,0,0,1,0,1
70,69248.13,13.37036883,0,0,1,0,0,1,1,0,0,0,0,0
33,65187.42,9.826229752,0,0,0,1,1,0,1,0,1,1,0,1
58,26005.77,12.07226102,0,0,0,0,1,0,1,1,0,1,0,0
58,10423.75,15.42491471,1,0,0,1,0,0,1,1,0,0,1,0
42,28909.96,8.601959705,1,0,0,1,0,1,1,0,0,0,0,1
89,28219.28,8.787582345,1,0,0,0,0,1,1,0,1,1,0,0
63,67319.27,6.362190982,1,0,0,1,1,0,1,0,1,0,0,0
18,71348.1,9.507249087,1,0,1,0,0,0,0,1,0,0,1,1
82,39231.99,12.06831191,1,0,1,0,1,0,1,0,1,0,0,0
